protocol,payload_bytes,buffer_bytes,condition,throughput_mbps,avg_latency_ms,latency_stdev_ms,run_index
TCP,1024,65536,baseline,1217.0862,0.1011,0.0095,1
TCP,64,65536,baseline,73.7796,0.0622,0.0221,1
TCP,64,65536,baseline,71.795,0.07,0.0607,2
TCP,64,65536,baseline,73.4129,0.0698,0.0599,3
TCP,256,65536,baseline,275.9798,0.0744,0.0521,1
TCP,256,65536,baseline,265.1047,0.0718,0.0502,2
TCP,256,65536,baseline,267.3717,0.0661,0.0285,3
TCP,1024,65536,baseline,842.3723,0.0702,0.0413,1
TCP,1024,65536,baseline,1319.1095,0.0604,0.0228,2
TCP,1024,65536,baseline,968.8847,0.0658,0.0394,3
TCP,4096,65536,baseline,2746.0367,0.0689,0.0324,1
TCP,4096,65536,baseline,2676.5228,0.0727,0.0454,2
TCP,4096,65536,baseline,2836.7493,0.0682,0.0406,3
TCP,16384,65536,baseline,9654.8625,0.0692,0.0312,1
TCP,16384,65536,baseline,6931.1457,0.0708,0.0381,2
TCP,16384,65536,baseline,7076.4621,0.0707,0.0386,3
TCP,65536,65536,baseline,9108.2707,0.0834,0.0475,1
TCP,64,65536,baseline,103.6752,0.0614,0.0293,1
TCP,64,65536,baseline,75.2628,0.0724,0.0597,2
TCP,64,65536,baseline,96.7224,0.0722,0.0501,3
TCP,256,65536,baseline,276.8284,0.0651,0.0299,1
TCP,256,65536,baseline,257.7748,0.0617,0.0304,2
TCP,256,65536,baseline,270.1669,0.0664,0.029,3
TCP,1024,65536,baseline,1255.2065,0.0687,0.0565,1
TCP,1024,65536,baseline,1206.1547,0.0677,0.0288,2
TCP,1024,65536,baseline,1208.4974,0.0691,0.0504,3
TCP,4096,65536,baseline,3093.558,0.0639,0.0298,1
TCP,4096,65536,baseline,3572.1909,0.0648,0.0259,2
TCP,4096,65536,baseline,3002.5655,0.0679,0.0526,3
TCP,16384,65536,baseline,6831.8261,0.0729,0.0446,1
TCP,16384,65536,baseline,8342.5135,0.0697,0.038,2
TCP,16384,65536,baseline,8579.8825,0.0735,0.0381,3
TCP,65536,65536,baseline,9635.3151,0.0758,0.03,1
TCP,65536,65536,baseline,9033.2963,0.0797,0.0304,2
TCP,65536,65536,baseline,9683.6923,0.0659,0.0271,3
TCP,64,65536,congested,68.6526,0.0398,0.0113,1
TCP,64,65536,congested,71.0199,0.04,0.0129,2
TCP,64,65536,congested,72.2866,0.041,0.0123,3
TCP,256,65536,congested,271.6841,0.0407,0.0115,1
TCP,256,65536,congested,286.3935,0.0408,0.0125,2
TCP,256,65536,congested,284.5037,0.041,0.0115,3
TCP,1024,65536,congested,1123.0893,0.0422,0.0132,1
TCP,1024,65536,congested,1194.1402,0.0415,0.0115,2
TCP,1024,65536,congested,1129.6973,0.0408,0.0116,3
TCP,4096,65536,congested,4118.4372,0.0431,0.0128,1
TCP,4096,65536,congested,4327.0939,0.0434,0.0137,2
TCP,4096,65536,congested,3971.4378,0.0418,0.0126,3
TCP,16384,65536,congested,11625.3534,0.0467,0.0119,1
TCP,16384,65536,congested,12097.3719,0.0473,0.0137,2
TCP,16384,65536,congested,11014.2983,0.0466,0.0124,3
TCP,64,65536,high_latency,0.252,102.5403,0.5596,1
TCP,64,65536,high_latency,0.252,102.4393,0.3983,2
TCP,64,65536,high_latency,0.2516,102.541,0.551,3
TCP,256,65536,high_latency,0.7981,102.4594,0.6099,1
TCP,256,65536,high_latency,0.6693,102.48,0.443,2
TCP,256,65536,high_latency,0.654,102.6163,0.6832,3
TCP,1024,65536,high_latency,3.9486,102.4839,0.4231,1
TCP,1024,65536,high_latency,3.9469,102.4911,0.4424,2
TCP,1024,65536,high_latency,3.1784,102.5188,0.4427,3
TCP,4096,65536,high_latency,6.387,102.4424,0.4073,1
TCP,4096,65536,high_latency,6.3825,102.4223,0.372,2
TCP,4096,65536,high_latency,6.3446,102.5528,0.5816,3
TCP,16384,65536,high_latency,6.3367,104.5144,0.5623,1
TCP,16384,65536,high_latency,6.3375,104.5916,0.4904,2
TCP,16384,65536,high_latency,6.3267,104.5101,0.4907,3
TCP,64,65536,high_latency,0.2522,102.4445,0.4118,1
TCP,64,65536,high_latency,0.2519,102.4175,0.383,2
TCP,64,65536,high_latency,0.2513,102.4683,0.4446,3
TCP,256,65536,high_latency,0.6661,102.6169,0.6397,1
TCP,256,65536,high_latency,0.6655,102.5477,0.5668,2
TCP,256,65536,high_latency,0.6682,102.498,0.4369,3
TCP,1024,65536,high_latency,3.9548,102.5189,0.5497,1
TCP,1024,65536,high_latency,3.942,102.4722,0.3575,2
TCP,1024,65536,high_latency,3.9516,102.4582,0.5645,3
TCP,4096,65536,high_latency,6.3884,102.4439,0.3845,1
TCP,4096,65536,high_latency,6.3551,102.4555,0.5536,2
TCP,4096,65536,high_latency,6.3555,102.53,0.5586,3
TCP,16384,65536,high_latency,6.3237,104.5159,0.5655,1
TCP,16384,65536,high_latency,6.3326,104.5603,0.5293,2
TCP,16384,65536,high_latency,6.3346,104.62,0.5937,3
TCP,64,65536,high_latency,0.2523,102.4318,0.5487,1
TCP,64,65536,high_latency,0.2499,102.5159,0.4291,2
TCP,64,65536,high_latency,0.2511,102.4468,0.3909,3
TCP,256,65536,high_latency,0.6641,102.4551,0.4216,1
TCP,256,65536,high_latency,0.6669,102.4244,0.3776,2
TCP,256,65536,high_latency,0.6672,102.4874,0.5731,3
TCP,1024,65536,high_latency,3.9641,102.414,0.3714,1
TCP,1024,65536,high_latency,3.1718,102.5648,0.5047,2
TCP,1024,65536,high_latency,3.1772,102.4519,0.4186,3
TCP,4096,65536,high_latency,6.3854,102.507,0.4624,1
TCP,4096,65536,high_latency,6.3719,102.4413,0.3585,2
TCP,4096,65536,high_latency,6.3802,102.6223,0.5959,3
TCP,16384,65536,high_latency,6.333,104.6584,0.5679,1
TCP,16384,65536,high_latency,6.3336,104.5985,0.5587,2
TCP,16384,65536,high_latency,6.3347,104.5555,0.546,3
TCP,64,65536,high_latency,0.2521,102.4507,0.4126,1
TCP,64,65536,high_latency,0.2514,102.4987,0.5189,2
TCP,64,65536,high_latency,0.251,102.5672,0.5124,3
TCP,256,65536,high_latency,0.7994,102.4629,0.4305,1
TCP,256,65536,high_latency,0.6646,102.4485,0.4156,2
TCP,256,65536,high_latency,0.6651,102.506,0.4513,3
TCP,1024,65536,high_latency,3.1833,102.5586,0.5247,1
TCP,1024,65536,high_latency,3.9431,102.4955,0.4419,2
TCP,1024,65536,high_latency,3.9452,102.4756,0.4235,3
TCP,4096,65536,high_latency,6.3758,102.45,0.3933,1
TCP,4096,65536,high_latency,6.3775,102.4907,0.4644,2
TCP,4096,65536,high_latency,6.37,102.4508,0.4054,3
TCP,16384,65536,high_latency,6.337,104.5729,0.4841,1
TCP,16384,65536,high_latency,6.3344,104.5867,0.6282,2
TCP,16384,65536,high_latency,6.3266,104.6218,0.557,3
TCP,64,65536,high_latency,0.251,102.5862,0.6388,1
TCP,64,65536,high_latency,0.2515,102.5222,0.4789,2
TCP,64,65536,high_latency,0.2516,102.4731,0.4254,3
TCP,256,65536,high_latency,0.6684,102.5654,0.5479,1
TCP,256,65536,high_latency,0.6689,102.5026,0.5476,2
TCP,256,65536,high_latency,0.6662,102.4932,0.4555,3
TCP,1024,65536,high_latency,3.9497,102.5152,0.5303,1
TCP,1024,65536,high_latency,1.7714,102.4905,0.5563,2
TCP,1024,65536,high_latency,3.9502,102.5636,0.6396,3
TCP,4096,65536,high_latency,6.384,102.5065,0.472,1
TCP,4096,65536,high_latency,6.3667,102.2954,0.501,2
TCP,4096,65536,high_latency,6.3682,102.5883,0.5571,3
TCP,16384,65536,high_latency,6.3416,104.6407,0.5703,1
TCP,16384,65536,high_latency,6.3393,104.6098,0.5938,2
TCP,16384,65536,high_latency,5.4062,104.6421,0.587,3
TCP,64,65536,high_latency,0.2509,102.5573,0.5773,1
TCP,64,65536,high_latency,0.2497,102.6266,0.6896,2
TCP,64,65536,high_latency,0.2009,102.6027,0.6731,3
TCP,256,65536,high_latency,0.6643,102.9548,0.8282,1
TCP,256,65536,high_latency,0.6688,102.9046,0.7739,2
TCP,256,65536,high_latency,0.6655,102.6557,0.6732,3
TCP,1024,65536,high_latency,3.9408,102.7567,0.7836,1
TCP,1024,65536,high_latency,1.7563,102.5551,0.6446,2
TCP,1024,65536,high_latency,3.9412,102.9938,2.7987,3
TCP,4096,65536,high_latency,6.3539,102.7154,0.8053,1
TCP,4096,65536,high_latency,6.3276,102.8137,0.7487,2
TCP,4096,65536,high_latency,6.3685,102.6651,1.0669,3
TCP,16384,65536,high_latency,6.3327,104.6642,0.9119,1
TCP,16384,65536,high_latency,6.3176,104.5414,0.5482,2
TCP,16384,65536,high_latency,6.3179,104.7231,0.6458,3
TCP,64,65536,bufferbloat,0.1979,4.4495,0.4692,1
TCP,64,65536,bufferbloat,0.1973,4.3359,0.6001,2
TCP,64,65536,bufferbloat,0.1979,4.3538,0.5396,3
TCP,256,65536,bufferbloat,0.6935,6.41,0.6132,1
TCP,256,65536,bufferbloat,0.6921,6.3988,0.6856,2
TCP,256,65536,bufferbloat,0.6933,6.3868,0.601,3
TCP,1024,65536,bufferbloat,0.4217,20.5009,1.5443,1
TCP,1024,65536,bufferbloat,0.4218,20.5527,1.5621,2
TCP,1024,65536,bufferbloat,0.4218,20.5031,1.7164,3
TCP,4096,65536,bufferbloat,0.2135,68.4515,0.7708,1
TCP,4096,65536,bufferbloat,0.2167,68.5356,0.9353,2
TCP,4096,65536,bufferbloat,0.2164,68.5163,1.1914,3
TCP,16384,65536,bufferbloat,0.1805,266.4765,1.0982,1
TCP,16384,65536,bufferbloat,0.9926,1316.9122,67.8951,2
TCP,16384,65536,bufferbloat,0.9928,1604.5954,740.1518,3
TCP,64,65536,lossy,3.9017,15.5957,40.0962,1
TCP,64,65536,lossy,0.4317,11.8333,30.1865,2
TCP,64,65536,lossy,0.4126,10.2209,27.6936,3
TCP,256,65536,lossy,0.9481,15.6933,46.0495,1
TCP,256,65536,lossy,0.9548,13.9755,42.4873,2
TCP,256,65536,lossy,1.2043,17.1878,45.6117,3
TCP,1024,65536,lossy,63.9589,13.2187,50.0481,1
TCP,1024,65536,lossy,74.7238,15.1723,44.3841,2
TCP,1024,65536,lossy,78.8123,14.1037,38.7751,3
TCP,4096,65536,lossy,91.1965,15.8633,45.0224,1
TCP,4096,65536,lossy,86.8521,14.1103,38.7351,2
TCP,4096,65536,lossy,37.1141,13.0884,43.6316,3
TCP,16384,65536,lossy,32.294,11.2599,41.2703,1
TCP,16384,65536,lossy,31.5232,6.8835,17.1067,2
TCP,16384,65536,lossy,46.7955,36.4786,64.2866,3
